filename,document title,DOI,GitHub link
D42v3_Derivation_of_H3_from_C1_C4.tex,Derivation of H_3 from Axioms C1--C4: The Equiparticipation Lemma and the Closure of Causality D42 (Version 2) --- Projective Dynamic Logo Framework,,https://github.com/laubscher-lab/PDL-framework/blob/main/D42v3_Derivation_of_H3_from_C1_C4.tex
D43_causal_chain.tex,The Causal Chain of Physical Reality: From Four Axioms to Newton's Constant via the Geometric Leakage Parameter,https://doi.org/10.5281/zenodo.19678389,https://github.com/laubscher-lab/PDL-framework/blob/main/D43_causal_chain.tex
D44-Closure_of_OP-B.tex,Closure of OP-B: Derivation of the Hierarchical Filter Factor k from the PDL Axioms,,https://github.com/laubscher-lab/PDL-framework/blob/main/D44-Closure_of_OP-B.tex
D44_v2.tex,OP-B Reopened: Two Filter-Product Constructions for the Hierarchical Factor k,https://doi.org/10.5281/zenodo.21221113,https://github.com/laubscher-lab/PDL-framework/blob/main/D44_v2.tex
D45 pbh threshold.tex,Primordial Black Hole Evaporation Threshold from PDL,,https://github.com/laubscher-lab/PDL-framework/blob/main/D45%20pbh%20threshold.tex
D45_pbh_threshold_v2.tex,Primordial Black Hole Evaporation Threshold from PDL,https://doi.org/10.5281/zenodo.20866017,https://github.com/laubscher-lab/PDL-framework/blob/main/D45_pbh_threshold_v2.tex
D46 — Born's Rule Level 2.tex,Born's Rule Level 2: Derivation of U (1) Phase Freedom from the K_4 Pulsation Structure in the PDL Framework PDL Document D46 Resolves OP4,https://doi.org/10.5281/zenodo.19956932,https://github.com/laubscher-lab/PDL-framework/blob/main/D46%20%E2%80%94%20Born%27s%20Rule%20Level%202.tex
D47 -- Shell Filling.tex,Derivation of the Sub-Shell Filling Rates and the Periodic Table from the PDL Axioms: Resolution of OP13 and OP14 PDL Document D47 Resolves OP13 and OP14,,https://github.com/laubscher-lab/PDL-framework/blob/main/D47%20--%20Shell%20Filling.tex
D47_script1_OP13_verification.py,"Verification independante d'OP13 (D47, Theorem OP13) :",,https://github.com/laubscher-lab/PDL-framework/blob/main/D47_script1_OP13_verification.py
D47_script2_mirror_magic_verification.py,Verification independante de la table HO-PDL de D47 et des 7 nombres,,https://github.com/laubscher-lab/PDL-framework/blob/main/D47_script2_mirror_magic_verification.py
D47_script3_OP14_filling_rate_audit.py,"Audit complet d'OP14 (D47, Theorem OP14 -- taux de remplissage r_exc(Z)).",,https://github.com/laubscher-lab/PDL-framework/blob/main/D47_script3_OP14_filling_rate_audit.py
D47_script4_residual_exploration.py,"Exploration du residu de ~25.8% (script 3, Partie C) et test de pistes",,https://github.com/laubscher-lab/PDL-framework/blob/main/D47_script4_residual_exploration.py
D47_v2.tex,"OP14 Reopened: The Filling-Rate Table of D40 Vindicated, an Equation Error Corrected, and the Simplified Rule of D47v1 Refuted",https://doi.org/10.5281/zenodo.21410146,https://github.com/laubscher-lab/PDL-framework/blob/main/D47_v2.tex
D48_coherence_tensor.tex,Derivation of the Coherence Stress-Energy Tensor from the PDL Axioms: Explicit Form of C_ coh and Resolution of OP2 (D35) PDL Document D48 Resolves OP2 of D35,,https://github.com/laubscher-lab/PDL-framework/blob/main/D48_coherence_tensor.tex
D48v3_coherence_tensor.tex,Derivation of the Coherence Stress-Energy Tensor from the PDL Axioms: Explicit Form of C_ coh and Resolution of OP2 (D35) and OP-spin PDL Document D48 Version 3 (Corrected),https://doi.org/10.5281/zenodo.20151380,https://github.com/laubscher-lab/PDL-framework/blob/main/D48v3_coherence_tensor.tex
D49_london_equation.tex,Derivation of the London Equation from the PDL Axioms: Resolution of OP-London PDL Document D49 Resolves OP-London,https://doi.org/10.5281/zenodo.20025166,https://github.com/laubscher-lab/PDL-framework/blob/main/D49_london_equation.tex
D50 — BH Quarter.tex,Derivation of the Bekenstein--Hawking One-Quarter Coefficient from the PDL Axioms: Resolution of OP12/BH-3 PDL Document D50 Resolves OP12/BH-3,https://doi.org/10.5281/zenodo.20029777,https://github.com/laubscher-lab/PDL-framework/blob/main/D50%20%E2%80%94%20BH%20Quarter.tex
D51_leakage_constant.tex,The Cosmological Leakage Constant from the PDL Axioms A Structural Derivation of C and Resolution of OP1-D35 PDL Document D51,https://doi.org/10.5281/zenodo.20033520,https://github.com/laubscher-lab/PDL-framework/blob/main/D51_leakage_constant.tex
D52_leakage_bases.tex,Formal Identification of the Three Leakage Bases as Natural Representatives of the Three Cycles of β_1(K_4) = 3 Completion of the Proof of Conjecture PDL-C PDL Document D52,https://doi.org/10.5281/zenodo.20036769,https://github.com/laubscher-lab/PDL-framework/blob/main/D52_leakage_bases.tex
D53_causal_closure_Lambda.tex,From Four Axioms to the Cosmological Constant: Causal Closure of the Chain C1 -- C4 to Λ A Synthesis and Computational Verification PDL Document D53,https://doi.org/10.5281/zenodo.20052558,https://github.com/laubscher-lab/PDL-framework/blob/main/D53_causal_closure_Lambda.tex
D54_equation_of_state.tex,Equation of State of the PDL Coherence Fluid: Resolution of OP-pressure PDL Document D54,https://doi.org/10.5281/zenodo.20157203,https://github.com/laubscher-lab/PDL-framework/blob/main/D54_equation_of_state.tex
D55_Weinberg_angle.tex,The Weinberg Angle from the PDL Axioms: Dephasing Sequencing and a New Prediction for Δ m_ iso,https://doi.org/10.5281/zenodo.20179924,https://github.com/laubscher-lab/PDL-framework/blob/main/D55_Weinberg_angle.tex
D56-Derivation-k.tex,D56: Derivation of the Linear Scaling N_ comp (k) = k from Axioms C1--C4 Resolution of Open Problem OP-D41-1-A Projective Dynamic Logo Framework,https://doi.org/10.5281/zenodo.20409903,https://github.com/laubscher-lab/PDL-framework/blob/main/D56-Derivation-k.tex
D57_gauge_SU2.tex,Derivation of the Tree-Level Weinberg Angle and the SU(2) Gauge Structure from the PDL Axioms C1--C4 Projective Dynamic Logo Framework --- Document D57,https://doi.org/10.5281/zenodo.20600264,https://github.com/laubscher-lab/PDL-framework/blob/main/D57_gauge_SU2.tex
D58_gauge_SU3.tex,Derivation of the SU (3) Gauge Structure from the PDL Axioms C1--C4: Completion of the Standard Model Gauge Group Projective Dynamic Logo Framework --- Document D58,https://doi.org/10.5281/zenodo.20622987,https://github.com/laubscher-lab/PDL-framework/blob/main/D58_gauge_SU3.tex
D59_representation_3.tex,Physical Identification of SU (3)_c and the Fundamental Representation 3 from the PDL Axioms C1--C4 Projective Dynamic Logo Framework --- Document D59,https://doi.org/10.5281/zenodo.20629282,https://github.com/laubscher-lab/PDL-framework/blob/main/D59_representation_3.tex
D60_C1V4_theorem.tex,From the Logic of Existence to the Gauge Symmetry Group: A Proof of Hypothesis H_ SU2 from Axioms C1 and C2 Projective Dynamic Logo Framework --- Document D60,https://doi.org/10.5281/zenodo.20639684,https://github.com/laubscher-lab/PDL-framework/blob/main/D60_C1V4_theorem.tex
D61_covariant_derivative.tex,Gauge Dynamics as a C4 Survival Theorem: Derivation of the Minimal Covariant Derivative from the PDL Axioms C1--C4 Document D61 of the PDL Programme,https://doi.org/10.5281/zenodo.20645713,https://github.com/laubscher-lab/PDL-framework/blob/main/D61_covariant_derivative.tex
D62 Gauge Boson.tex,"D62: Gauge Boson Masses from Combinatorial Axioms Derivation of v, M_ Z, M_ W and Prediction of M_ H in the Projective Dynamic Logo Framework",https://doi.org/10.5281/zenodo.20679631,https://github.com/laubscher-lab/PDL-framework/blob/main/D62%20Gauge%20Boson.tex
D63 Quark Mass Spectrum.tex,D63: Quark Mass Spectrum from Combinatorial Axioms Two Conjectures on Valence and Sea Quark Masses in the Projective Dynamic Logo Framework,https://doi.org/10.5281/zenodo.20696391,https://github.com/laubscher-lab/PDL-framework/blob/main/D63%20Quark%20Mass%20Spectrum.tex
D64_Soft_Hair_PDL.tex,"Soft Hair on PDL Closures: A Structural Correspondence Between Surface Microstate Counting and Black Hole Hair PDL Document D64 Two New Open Problems (OP-D64-1, OP-D64-2)",,https://github.com/laubscher-lab/PDL-framework/blob/main/D64_Soft_Hair_PDL.tex
D64_Soft_Hair_PDL_v2.tex,"Soft Hair on PDL Closures: A Structural Correspondence Between Surface Microstate Counting and Black Hole Hair PDL Document D64 Two New Open Problems (OP-D64-1, OP-D64-2)",https://doi.org/10.5281/zenodo.20868328,https://github.com/laubscher-lab/PDL-framework/blob/main/D64_Soft_Hair_PDL_v2.tex
D65_Two_Limits.tex,"Two Limits of the Same Surface: Behavioural Correspondences Between Nucleon and Black Hole Closures in PDL PDL Document D65 --- Sequel to D64 Three New Open Problems (OP-D65-1, OP-D65-2, OP-D65-3)",https://doi.org/10.5281/zenodo.21220251,https://github.com/laubscher-lab/PDL-framework/blob/main/D65_Two_Limits.tex
D66 parity obstruction.tex,"A Search for the C5 Metric Candidate: Logical Geometry, the (A)∧(B) Standard, and the Parity Obstruction of K_4",https://doi.org/10.5281/zenodo.21351177,https://github.com/laubscher-lab/PDL-framework/blob/main/D66%20parity%20obstruction.tex
D67_metric_and_coherence_tensor.tex,"The Emergent Metric and the Coherence Stress-Energy Tensor in PDL A Consolidated Reference, with Exploratory Extensions to the Isolated Nucleon PDL Document D67",https://doi.org/10.5281/zenodo.21382362,https://github.com/laubscher-lab/PDL-framework/blob/main/D67_metric_and_coherence_tensor.tex
D67_verification_scripts.py,D67 -- Verification scripts for Part II (Exploratory Extensions to the,,https://github.com/laubscher-lab/PDL-framework/blob/main/D67_verification_scripts.py
D68_pulsation_bipartition.tex,"The Pulsation as a Bipartition Complete Classification of C1-Admissible Dynamical Laws, and a Singleton Obstruction Theorem for Frustration-Based Selection PDL Document D68",https://doi.org/10.5281/zenodo.21997433,https://github.com/laubscher-lab/PDL-framework/blob/main/D68_pulsation_bipartition.tex
D69_rule_P.tex,"The Proximity Rule P A Minimax Selection Principle on Signed Graphs, with Closed Enumeration on Cycles and a Dichotomy between Complete Graphs and Sparse Meshes PDL Document D69",https://doi.org/10.5281/zenodo.21999711,https://github.com/laubscher-lab/PDL-framework/blob/main/D69_rule_P.tex
D_exp_MP01.tex,D-exp-MP01: PDL Structural Lacunae Confirmed by Materials Project Database Scan Exploratory Document — PDL Framework,https://doi.org/10.5281/zenodo.20316492,https://github.com/laubscher-lab/PDL-framework/blob/main/D_exp_MP01.tex
Derivation of kappa R_surf _ R_tot from the PDL Axioms.tex,Derivation of κ = R_ surf /R_ tot from the PDL Axioms: The Indifference Lemma and Partial Resolution of Open Problem OP1 (D36) Document D39 --- PDL Programme,https://doi.org/10.5281/zenodo.19354989,https://github.com/laubscher-lab/PDL-framework/blob/main/Derivation%20of%20kappa%20R_surf%20_%20R_tot%20from%20the%20PDL%20Axioms.tex
Derivation_alpha_PDL.tex,A Structural Derivation of the Fine-Structure Constant from the Projective Dynamic Logo (PDL),,https://github.com/laubscher-lab/PDL-framework/blob/main/Derivation_alpha_PDL.tex
Derivation_alpha_PDL_v2.tex,A Structural Derivation of the Fine-Structure Constant from the Projective Dynamic Logo (PDL),https://doi.org/10.5281/zenodo.18828183,https://github.com/laubscher-lab/PDL-framework/blob/main/Derivation_alpha_PDL_v2.tex
"Dirac Equation from the SL(2,C) Pulsation of K_4 in the PDL Framework.tex","Dirac Equation from the SL (2,ℂ) Pulsation of K_4 in the PDL Framework",https://doi.org/10.5281/zenodo.19307249,https://github.com/laubscher-lab/PDL-framework/blob/main/Dirac%20Equation%20from%20the%20SL%282%2CC%29%20Pulsation%20of%20K_4%20in%20the%20PDL%20Framework.tex
Discrete Cavity Modes and Logical Density of States in the PDL Framework.tex,Discrete Cavity Modes and Logical Density of States in the Projective Dynamic Logo Framework,https://doi.org/10.5281/zenodo.18854190,https://github.com/laubscher-lab/PDL-framework/blob/main/Discrete%20Cavity%20Modes%20and%20Logical%20Density%20of%20States%20in%20the%20PDL%20Framework.tex
DL01 — From Axioms to Life.tex,From Axioms to Life: The PDL -V Conjecture and the Hierarchical Replication of C1--C4 PDL Framework --- Document DL01,https://doi.org/10.5281/zenodo.20132166,https://github.com/laubscher-lab/PDL-framework/blob/main/DL01%20%E2%80%94%20From%20Axioms%20to%20Life.tex
DL02 — Existence Separation.tex,"Existence, Separation, and Finiteness of the Life and Consciousness Thresholds in the PDL -V Programme PDL Framework --- Document DL02",https://doi.org/10.5281/zenodo.20132228,https://github.com/laubscher-lab/PDL-framework/blob/main/DL02%20%E2%80%94%20Existence%20Separation.tex
DL03_Electron_Alphabet_Cayley_Family_Fourfold_n4.tex,"The Electron Alphabet, the Cayley--Hypercube Family, and a Threefold Characterisation of n=4 Towards a Combinatorial Language Layer for the PDL-V Programme PDL Document DL03",https://doi.org/10.5281/zenodo.21518902,https://github.com/laubscher-lab/PDL-framework/blob/main/DL03_Electron_Alphabet_Cayley_Family_Fourfold_n4.tex
DS01_programme_closure_at_D55.tex,Projective Dynamic Logo: Programme Closure at D55 Synthesis Document DS01 --- Provisional,https://doi.org/10.5281/zenodo.20187274,https://github.com/laubscher-lab/PDL-framework/blob/main/DS01_programme_closure_at_D55.tex
Emergence of the Golden Ratio in the PDL Proton Surface.tex,A Minimal Relational Sketch for the Emergence of the Golden Ratio in PDL,https://doi.org/10.5281/zenodo.18581453,https://github.com/laubscher-lab/PDL-framework/blob/main/Emergence%20of%20the%20Golden%20Ratio%20in%20the%20PDL%20Proton%20Surface.tex
Existence as Pulsating Closure An Ontological Meditation on the PDL Framework.tex,Existence as Pulsating Closure: An Ontological Meditation on the Projective Dynamic Logo Framework,https://doi.org/10.5281/zenodo.18854559,https://github.com/laubscher-lab/PDL-framework/blob/main/Existence%20as%20Pulsating%20Closure%20An%20Ontological%20Meditation%20on%20the%20PDL%20Framework.tex
Gamma/main.py,LOGNORMAL_METHOD: unbounded mass sampling (mode-centered).,,https://github.com/laubscher-lab/PDL-framework/blob/main/Gamma/main.py
Hierarchical Coherence Filtering and the Exponent 18 in PDL.tex,Hierarchical Filtering of Coherence Leakage and Justification of the Exponent 18 in PDL,https://doi.org/10.5281/zenodo.18581807,https://github.com/laubscher-lab/PDL-framework/blob/main/Hierarchical%20Coherence%20Filtering%20and%20the%20Exponent%2018%20in%20PDL.tex
IMRad_PDL.tex,The Emergence of Physical Reality within the Framework of the Projective Dynamic Logo,https://doi.org/10.5281/zenodo.18509648,https://github.com/laubscher-lab/PDL-framework/blob/main/IMRad_PDL.tex
LDP.tex,L’émergence de la réalité physique dans le cadre du Logo Dynamique Projectif (LDP),https://doi.org/10.5281/zenodo.18475542,https://github.com/laubscher-lab/PDL-framework/blob/main/LDP.tex
Minimal Stationary Closures in the PDL Framework Necessity of the 4-6 Block.tex,"Minimal Stationary Closures in the Projective Dynamic Logo Framework: Necessity of the (4,6) Block",https://doi.org/10.5281/zenodo.18841034,https://github.com/laubscher-lab/PDL-framework/blob/main/Minimal%20Stationary%20Closures%20in%20the%20PDL%20Framework%20Necessity%20of%20the%204-6%20Block.tex
Nuclear Stability PDL.tex,"Nuclear Stability and the Periodic Table from PDL Combinatorial Axioms: Derivation of the Valley of Stability, Magic Numbers, and Assembly Rules",https://doi.org/10.5281/zenodo.19371523,https://github.com/laubscher-lab/PDL-framework/blob/main/Nuclear%20Stability%20PDL.tex
On the Combinatorial Selection and Local Uniqueness of the PDL Proton Architecture.tex,On the Combinatorial Selection and Local Uniqueness of the Proton Architecture in the PDL Framework,https://doi.org/10.5281/zenodo.18841166,https://github.com/laubscher-lab/PDL-framework/blob/main/On%20the%20Combinatorial%20Selection%20and%20Local%20Uniqueness%20of%20the%20PDL%20Proton%20Architecture.tex
PDL Global Mapping of Structures Results and Open Problems_v10.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v10.tex
PDL Global Mapping of Structures Results and Open Problems_v11.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems Version 11 — A Guide for Continuation of the Programme",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v11.tex
PDL Global Mapping of Structures Results and Open Problems_v12.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems Version 12 — A Guide for Continuation of the Programme",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v12.tex
PDL Global Mapping of Structures Results and Open Problems_v13.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems Version 13 — A Guide for Continuation of the Programme",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v13.tex
PDL Global Mapping of Structures Results and Open Problems_v15.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems Version 15 — A Guide for Continuation of the Programme",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v15.tex
PDL Global Mapping of Structures Results and Open Problems_v16.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems Version 16 --- A Guide for Continuation of the Programme",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v16.tex
PDL Global Mapping of Structures Results and Open Problems_v3.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v3.tex
PDL Global Mapping of Structures Results and Open Problems_v5.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v5.tex
PDL Global Mapping of Structures Results and Open Problems_v6.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v6.tex
PDL Global Mapping of Structures Results and Open Problems_v7.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v7.tex
PDL Global Mapping of Structures Results and Open Problems_v8.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v8.tex
PDL Global Mapping of Structures Results and Open Problems_v9.tex,"Projective Dynamic Logo (PDL) Global Mapping of Structures, Results, and Open Problems",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20Global%20Mapping%20of%20Structures%20Results%20and%20Open%20Problems_v9.tex
Pdl hubble resolution.tex,Cosmological Resolution via PDL: G as a Topology-Dependent Parameter and the Hubble Tension as a Scale-Transition Signature,https://doi.org/10.5281/zenodo.19221310,https://github.com/laubscher-lab/PDL-framework/blob/main/Pdl%20hubble%20resolution.tex
Pdl nuclear stability skeleton.tex,Nuclear Stability and the Periodic Table as Combinatorial Closure Hierarchies in the Projective Dynamic Logo Framework,https://doi.org/10.5281/zenodo.19164084,https://github.com/laubscher-lab/PDL-framework/blob/main/Pdl%20nuclear%20stability%20skeleton.tex
PDL — Topological Origin of the Exponent 18.tex,"Topological Origin of the Exponent 18 in the PDL Gravitational Coupling: K_4, S 2, and the Periodic Table",,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20%E2%80%94%20Topological%20Origin%20of%20the%20Exponent%2018.tex
PDL — Topological Origin of the Exponent 18_v2.tex,"Topological Origin of the Exponent 18 in the PDL Gravitational Coupling: K_4, S 2, and the Periodic Table",https://doi.org/10.5281/zenodo.19197268,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL%20%E2%80%94%20Topological%20Origin%20of%20the%20Exponent%2018_v2.tex
PDL.tex,The Emergence of Physical Reality within the Framework of the Projective Dynamic Logo (PDL),https://doi.org/10.5281/zenodo.18462686,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL.tex
PDL_C1V4_script1.py,Verification script for OP-D57-1 (Lemma C1-V4),,https://github.com/laubscher-lab/PDL-framework/blob/main/PDL_C1V4_script1.py
